Year,Location 1,Location 2
1985,26.9292183464882,41.9259259259259
1986,26.9868083687315,41.9251543209877
1987,26.935441370224,41.9268904320988
1988,26.9809795569373,41.9191743827161
1989,27.0505104094252,41.0835262345679
1990,29.4435179576257,44.8292824074074
1991,28.2954235283414,45.5613425925926
1992,26.1210517415527,48.6755401234568
1993,25.9584262444127,43.4072145061728
1994,25.5458628392403,38.4072145061728
1995,26.5857980100859,44.1826774691358
1996,24.2269883579273,38.7347608024691
1997,21.4374800710609,30.1273148148148
1998,20.0735286090156,42.6668595679012
1999,16.3722779828133,36.0405092592593
2000,12.8160323860276,27.3422067901235
2001,12.5519997676799,25.0858410493827
2002,18.3537387516102,37.5958719135802
2003,12.6582671385886,29.8088348765432
2004,14.7739819489394,31.6774691358025
2005,15.8743961702005,32.6361882716049
2006,12.9796833601181,28.3601466049383
2007,16.4136369268169,36.7702546296296
2008,15.1187541403764,35.1358024691358
2009,18.4049441595255,36.1234567901235
2010,14.4032181904035,32.3553240740741
2011,10.9979685188532,30.7635030864198
2012,12.1279534158322,29.0617283950617
2013,11.1399798608518,24.9824459876543
2014,13.1429114377389,23.532600308642
2015,12.7928646275412,21.2866512345679
2016,13.9206637263579,28.2964891975309
2017,11.8502397345259,28.2060185185185
2018,16.9432653945674,31.1749614197531
2019,17.9038914126211,35.8742283950617
2020,18.1526832610185,28.1425540123457
2021,17.4147652008773,26.1425540123457
2022,17.4453756278164,26.1425540123457
